"StateFIPS","State","CountyFIPS","County","Year","Value","Data Comment",
"06","California","06001","Alameda","2018","1.2%","",
"06","California","06003","Alpine","2018","5.4%","",
"06","California","06005","Amador","2018","4.1%","",
"06","California","06007","Butte","2018","3.2%","",
"06","California","06009","Calaveras","2018","4.2%","",
"06","California","06011","Colusa","2018","3.0%","",
"06","California","06013","Contra Costa","2018","1.5%","",
"06","California","06015","Del Norte","2018","3.3%","",
"06","California","06017","El Dorado","2018","2.7%","",
"06","California","06019","Fresno","2018","3.0%","",
"06","California","06021","Glenn","2018","3.6%","",
"06","California","06023","Humboldt","2018","3.0%","",
"06","California","06025","Imperial","2018","3.3%","",
"06","California","06027","Inyo","2018","3.4%","",
"06","California","06029","Kern","2018","2.8%","",
"06","California","06031","Kings","2018","3.0%","",
"06","California","06033","Lake","2018","4.6%","",
"06","California","06035","Lassen","2018","3.1%","",
"06","California","06037","Los Angeles","2018","1.6%","",
"06","California","06039","Madera","2018","3.7%","",
"06","California","06041","Marin","2018","1.2%","",
"06","California","06043","Mariposa","2018","4.5%","",
"06","California","06045","Mendocino","2018","3.7%","",
"06","California","06047","Merced","2018","2.7%","",
"06","California","06049","Modoc","2018","3.8%","",
"06","California","06051","Mono","2018","4.3%","",
"06","California","06053","Monterey","2018","1.8%","",
"06","California","06055","Napa","2018","1.9%","",
"06","California","06057","Nevada","2018","2.5%","",
"06","California","06059","Orange","2018","1.3%","",
"06","California","06061","Placer","2018","2.2%","",
"06","California","06063","Plumas","2018","4.6%","",
"06","California","06065","Riverside","2018","2.4%","",
"06","California","06067","Sacramento","2018","2.0%","",
"06","California","06069","San Benito","2018","2.0%","",
"06","California","06071","San Bernardino","2018","2.4%","",
"06","California","06073","San Diego","2018","1.6%","",
"06","California","06075","San Francisco","2018","0.8%","",
"06","California","06077","San Joaquin","2018","2.6%","",
"06","California","06079","San Luis Obispo","2018","1.8%","",
"06","California","06081","San Mateo","2018","1.0%","",
"06","California","06083","Santa Barbara","2018","1.3%","",
"06","California","06085","Santa Clara","2018","1.0%","",
"06","California","06087","Santa Cruz","2018","1.6%","",
"06","California","06089","Shasta","2018","3.6%","",
"06","California","06091","Sierra","2018","5.4%","",
"06","California","06093","Siskiyou","2018","3.6%","",
"06","California","06095","Solano","2018","2.0%","",
"06","California","06097","Sonoma","2018","1.9%","",
"06","California","06099","Stanislaus","2018","2.8%","",
"06","California","06101","Sutter","2018","2.8%","",
"06","California","06103","Tehama","2018","4.0%","",
"06","California","06105","Trinity","2018","4.8%","",
"06","California","06107","Tulare","2018","3.2%","",
"06","California","06109","Tuolumne","2018","4.1%","",
"06","California","06111","Ventura","2018","1.3%","",
"06","California","06113","Yolo","2018","1.9%","",
"06","California","06115","Yuba","2018","3.2%","",
